Nested Sampling Global Log-Evidence           :   -0.226788953461845786E+02  +/-    0.214795099152804703E+00
Nested Importance Sampling Global Log-Evidence:   -0.232817945297960165E+02  +/-    0.529962917935402275E-01

Dim No.       Mean        Sigma
   1    0.272951204239389433E+01    0.410766740733707093E-02
   2    0.120570555653616873E+01    0.133792436650399887E+00
   3   -0.261227642013984829E+01    0.423627489397570695E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.272944997326135930E+01
   2    0.120810182352086271E+01
   3   -0.261424493199616492E+01

MAP Parameters
Dim No.        Parameter
   1    0.272944997326135930E+01
   2    0.120810182352086271E+01
   3   -0.261424493199616492E+01
